NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,ArchitectyreType
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment,Physical
Shared Use Transportation Center,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment,Physical
Eligibility Certification Management System,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment,Physical
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment,Physical
Light Vehicle Driver,,,,,Trip Planning and Payment,Physical
Electric Charging Management Center,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment,Physical
Transportation Information Center,Class 4,High,High,Moderate,Travel Services Information and Reservation,Physical
Personal Information Device,Class 5,High,High,High,Travel Services Information and Reservation,Physical
Alternate Mode Transportation Center,Class 2,Moderate,Moderate,Low,Travel Services Information and Reservation,Physical
TIC Operator,,,,,Travel Services Information and Reservation,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,Travel Services Information and Reservation,Physical
Payment Device,Class 5,Moderate,Moderate,High,Travel Services Information and Reservation,Physical
Travel Services Provider System,Class 2,Moderate,Moderate,Moderate,Travel Services Information and Reservation,Physical
Traveler,,,,,Travel Services Information and Reservation,Physical
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Travel Services Information and Reservation,Physical
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Travel Services Information and Reservation,Physical
Light Vehicle OBE,Class 5,Moderate,Moderate,High,Travel Services Information and Reservation,Physical
Light Vehicle Driver,,,,,Travel Services Information and Reservation,Physical
Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management,Physical
Fleet and Freight Management Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Transportation Information Center,Class 1,Low,Moderate,Moderate,Carrier Operations and Fleet Management,Physical
Commercial Vehicle Driver,,,,,Carrier Operations and Fleet Management,Physical
Fleet-Freight Manager,,,,,Carrier Operations and Fleet Management,Physical
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,Physical
Basic Commercial Vehicle,,,,,Carrier Operations and Fleet Management,Physical
Location and Time Data Source,Class 5,Moderate,High,High,Carrier Operations and Fleet Management,Physical
Freight Equipment,Class 2,Moderate,Moderate,Moderate,Freight Administration,Physical
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Freight Administration,Physical
Commercial Vehicle OBE,Class 4,High,High,Moderate,Freight Administration,Physical
Fleet and Freight Management Center,Class 4,High,High,Moderate,Freight Administration,Physical
Commercial Vehicle Driver,,,,,Freight Administration,Physical
Fleet-Freight Manager,,,,,Freight Administration,Physical
Intermodal Customer System,Class 2,Moderate,Moderate,Moderate,Freight Administration,Physical
Freight Distribution and Logistics Center,Class 2,Moderate,Moderate,Moderate,Freight Administration,Physical
Basic Commercial Vehicle,,,,,Freight Administration,Physical
Freight Equipment,Class 2,Moderate,Moderate,Moderate,Electronic Clearance,Physical
Commercial Vehicle OBE,Class 4,High,High,Moderate,Electronic Clearance,Physical
Fleet and Freight Management Center,Class 4,High,High,Moderate,Electronic Clearance,Physical
Commercial Vehicle Driver,,,,,Electronic Clearance,Physical
Enforcement Center,Class 4,High,High,Moderate,Electronic Clearance,Physical
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,Electronic Clearance,Physical
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Electronic Clearance,Physical
Commercial Vehicle Inspector,,,,,Electronic Clearance,Physical
Other CV Administration Centers,Class 4,High,High,Moderate,Electronic Clearance,Physical
Basic Commercial Vehicle,,,,,Electronic Clearance,Physical
Traffic Management Center,Class 1,Low,Moderate,Moderate,CV Administrative Processes,Physical
Maint and Constr Management Center,Class 3,Low,High,Moderate,CV Administrative Processes,Physical
Fleet and Freight Management Center,Class 4,High,High,Moderate,CV Administrative Processes,Physical
Transportation Information Center,Class 1,Low,Low,Low,CV Administrative Processes,Physical
Fleet-Freight Manager,,,,,CV Administrative Processes,Physical
Enforcement Center,Class 4,High,Moderate,Moderate,CV Administrative Processes,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,CV Administrative Processes,Physical
DMV,Class 2,Moderate,Moderate,Moderate,CV Administrative Processes,Physical
Commercial Vehicle Check Equipment,Class 2,Moderate,Moderate,Low,CV Administrative Processes,Physical
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,CV Administrative Processes,Physical
Other CV Administration Centers,Class 4,High,High,Moderate,CV Administrative Processes,Physical
CVO Information Requestor Center,Class 4,High,High,Moderate,CV Administrative Processes,Physical
Commercial Vehicle Administrator,,,,,CV Administrative Processes,Physical
Freight Equipment,Class 2,Moderate,Moderate,Moderate,International Border Electronic Clearance,Physical
Commercial Vehicle OBE,Class 2,Moderate,Moderate,Moderate,International Border Electronic Clearance,Physical
Fleet and Freight Management Center,Class 4,High,High,Moderate,International Border Electronic Clearance,Physical
Commercial Vehicle Driver,,,,,International Border Electronic Clearance,Physical
Intermodal Customer System,Class 4,High,High,Moderate,International Border Electronic Clearance,Physical
Freight Distribution and Logistics Center,Class 3,Moderate,High,Moderate,International Border Electronic Clearance,Physical
Enforcement Center,Class 4,High,Moderate,Low,International Border Electronic Clearance,Physical
Border Inspection Administration Center,Class 4,High,High,Moderate,International Border Electronic Clearance,Physical
Border Inspection System,Class 4,High,High,Moderate,International Border Electronic Clearance,Physical
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,International Border Electronic Clearance,Physical
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,International Border Electronic Clearance,Physical
Commercial Vehicle Inspector,,,,,International Border Electronic Clearance,Physical
Other CV Administration Centers,Class 4,High,High,Moderate,International Border Electronic Clearance,Physical
Commercial Vehicle OBE,Class 4,High,High,Moderate,Roadside CVO Safety,Physical
Fleet and Freight Management Center,Class 4,High,High,Moderate,Roadside CVO Safety,Physical
Commercial Vehicle Driver,,,,,Roadside CVO Safety,Physical
Enforcement Center,Class 4,High,High,Moderate,Roadside CVO Safety,Physical
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,Roadside CVO Safety,Physical
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Roadside CVO Safety,Physical
Commercial Vehicle Inspector,,,,,Roadside CVO Safety,Physical
Other CV Administration Centers,Class 4,High,High,Moderate,Roadside CVO Safety,Physical
Driver Identification Card,Class 4,High,Moderate,Moderate,Roadside CVO Safety,Physical
Alerting and Advisory System,Class 3,Moderate,High,Moderate,Roadside CVO Safety,Physical
Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management,Physical
Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management,Physical
Fleet and Freight Management Center,Class 5,High,High,High,HAZMAT Management,Physical
Emergency Management Center,Class 5,High,High,High,HAZMAT Management,Physical
Commercial Vehicle OBE,Class 1,Low,Low,Moderate,Roadside HAZMAT Security Detection and Mitigation,Physical
Commercial Vehicle Driver,,,,,Roadside HAZMAT Security Detection and Mitigation,Physical
Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Roadside HAZMAT Security Detection and Mitigation,Physical
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,Roadside HAZMAT Security Detection and Mitigation,Physical
Commercial Vehicle Administration Center,Class 4,High,Moderate,Moderate,Roadside HAZMAT Security Detection and Mitigation,Physical
Commercial Vehicle OBE,Class 4,High,High,Moderate,CV Driver Security Authentication,Physical
Fleet and Freight Management Center,Class 5,High,High,High,CV Driver Security Authentication,Physical
Commercial Vehicle Driver,,,,,CV Driver Security Authentication,Physical
Fleet-Freight Manager,,,,,CV Driver Security Authentication,Physical
Emergency Management Center,Class 5,High,High,High,CV Driver Security Authentication,Physical
Emergency System Operator,,,,,CV Driver Security Authentication,Physical
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,CV Driver Security Authentication,Physical
Basic Commercial Vehicle,,,,,CV Driver Security Authentication,Physical
Driver Identification Card,Class 4,High,Moderate,Moderate,CV Driver Security Authentication,Physical
Freight Equipment,Class 5,Moderate,High,High,Fleet and Freight Security,Physical
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Fleet and Freight Security,Physical
Commercial Vehicle OBE,Class 5,High,High,High,Fleet and Freight Security,Physical
Fleet and Freight Management Center,Class 5,High,High,High,Fleet and Freight Security,Physical
Commercial Vehicle Driver,,,,,Fleet and Freight Security,Physical
Fleet-Freight Manager,,,,,Fleet and Freight Security,Physical
Intermodal Customer System,Class 3,Moderate,High,Moderate,Fleet and Freight Security,Physical
Freight Distribution and Logistics Center,Class 2,Moderate,Moderate,Moderate,Fleet and Freight Security,Physical
Emergency Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Fleet and Freight Security,Physical
Emergency Management Center,Class 3,Moderate,High,Moderate,Fleet and Freight Security,Physical
Commercial Vehicle Check Equipment,Class 3,Moderate,High,Moderate,Fleet and Freight Security,Physical
Location and Time Data Source,Class 5,Moderate,High,High,Fleet and Freight Security,Physical
Driver Identification Card,Class 4,High,Moderate,Moderate,Fleet and Freight Security,Physical
Alerting and Advisory System,Class 5,Moderate,High,High,Fleet and Freight Security,Physical
Traffic Management Center,Class 5,High,High,High,Emergency Call-Taking and Dispatch,Physical
Maint and Constr Management Center,Class 5,Low,High,High,Emergency Call-Taking and Dispatch,Physical
Transportation Information Center,Class 3,Low,High,Moderate,Emergency Call-Taking and Dispatch,Physical
Transit Management Center,Class 5,Moderate,High,High,Emergency Call-Taking and Dispatch,Physical
Weather Service System,Class 1,Low,Moderate,Moderate,Emergency Call-Taking and Dispatch,Physical
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Emergency Call-Taking and Dispatch,Physical
Emergency Vehicle OBE,Class 5,Moderate,High,High,Emergency Call-Taking and Dispatch,Physical
Emergency Personnel,,,,,Emergency Call-Taking and Dispatch,Physical
Emergency Management Center,Class 5,High,High,High,Emergency Call-Taking and Dispatch,Physical
Other Emergency Management Centers,Class 4,High,High,Moderate,Emergency Call-Taking and Dispatch,Physical
Emergency System Operator,,,,,Emergency Call-Taking and Dispatch,Physical
Rail Operations Center,Class 1,Low,Moderate,Moderate,Emergency Call-Taking and Dispatch,Physical
Emergency Telecommunications System,Class 2,Moderate,Moderate,Moderate,Emergency Call-Taking and Dispatch,Physical
Location and Time Data Source,Class 5,Moderate,High,High,Emergency Call-Taking and Dispatch,Physical
Traffic Management Center,Class 4,High,Moderate,Moderate,Roadway Service Patrols,Physical
Maint and Constr Management Center,Class 4,High,High,Moderate,Roadway Service Patrols,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Roadway Service Patrols,Physical
Traffic Operations Personnel,,,,,Roadway Service Patrols,Physical
Emergency Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Roadway Service Patrols,Physical
Emergency Personnel,,,,,Roadway Service Patrols,Physical
Emergency Management Center,Class 4,High,High,Moderate,Roadway Service Patrols,Physical
Driver,,,,,Transportation Infrastructure Protection,Physical
Vehicle,Class 2,Moderate,Moderate,Moderate,Transportation Infrastructure Protection,Physical
Traffic Management Center,Class 5,High,High,High,Transportation Infrastructure Protection,Physical
Maint and Constr Management Center,Class 5,Moderate,Moderate,High,Transportation Infrastructure Protection,Physical
ITS Roadway Equipment,Class 5,High,High,High,Transportation Infrastructure Protection,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Transportation Infrastructure Protection,Physical
Transit Management Center,Class 5,Moderate,Moderate,High,Transportation Infrastructure Protection,Physical
Traffic Operations Personnel,,,,,Transportation Infrastructure Protection,Physical
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Transportation Infrastructure Protection,Physical
Emergency Personnel,,,,,Transportation Infrastructure Protection,Physical
Emergency Management Center,Class 5,High,High,High,Transportation Infrastructure Protection,Physical
Other Emergency Management Centers,Class 5,High,High,High,Transportation Infrastructure Protection,Physical
Emergency System Operator,,,,,Transportation Infrastructure Protection,Physical
Rail Operations Center,Class 5,Moderate,Moderate,High,Transportation Infrastructure Protection,Physical
Security Monitoring Equipment,Class 4,High,Moderate,Moderate,Transportation Infrastructure Protection,Physical
Alerting and Advisory System,Class 5,Moderate,High,High,Transportation Infrastructure Protection,Physical
Driver,,,,,Wide-Area Alert,Physical
Traffic Management Center,Class 5,High,High,High,Wide-Area Alert,Physical
Maint and Constr Management Center,Class 5,High,High,High,Wide-Area Alert,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Wide-Area Alert,Physical
Transportation Information Center,Class 5,High,High,High,Wide-Area Alert,Physical
Personal Information Device,Class 1,Low,Low,Moderate,Wide-Area Alert,Physical
Transit Management Center,Class 5,High,High,High,Wide-Area Alert,Physical
Transit Operations Personnel,,,,,Wide-Area Alert,Physical
Transit Vehicle OBE,Class 1,Low,Low,Moderate,Wide-Area Alert,Physical
Traffic Operations Personnel,,,,,Wide-Area Alert,Physical
TIC Operator,,,,,Wide-Area Alert,Physical
Emergency Management Center,Class 5,High,High,High,Wide-Area Alert,Physical
Other Emergency Management Centers,Class 5,High,High,High,Wide-Area Alert,Physical
Emergency System Operator,,,,,Wide-Area Alert,Physical
Traveler,,,,,Wide-Area Alert,Physical
Emergency Telecommunications System,Class 1,Low,Low,Low,Wide-Area Alert,Physical
Traveler Support Equipment,Class 1,Low,Low,Moderate,Wide-Area Alert,Physical
Other Transportation Information Centers,Class 3,Low,High,Moderate,Wide-Area Alert,Physical
Social Media,Class 1,Low,Low,Moderate,Wide-Area Alert,Physical
Traveler Information Voice System,Class 5,Low,Moderate,High,Wide-Area Alert,Physical
Alerting and Advisory System,Class 3,Moderate,High,Moderate,Wide-Area Alert,Physical
Basic Vehicle,Class 1,Not Applicable,Low,Low,Wide-Area Alert,Physical
Light Vehicle OBE,Class 1,Low,Low,Moderate,Wide-Area Alert,Physical
Light Vehicle Driver,,,,,Wide-Area Alert,Physical
Traffic Management Center,Class 5,High,High,High,Early Warning System,Physical
Maint and Constr Management Center,Class 5,High,High,High,Early Warning System,Physical
Transit Management Center,Class 5,High,High,High,Early Warning System,Physical
Transit Operations Personnel,,,,,Early Warning System,Physical
Traffic Operations Personnel,,,,,Early Warning System,Physical
Weather Service System,Class 1,Low,Moderate,Moderate,Early Warning System,Physical
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Early Warning System,Physical
Maint and Constr Center Personnel,,,,,Early Warning System,Physical
Emergency Management Center,Class 5,High,High,High,Early Warning System,Physical
Other Emergency Management Centers,Class 5,High,High,High,Early Warning System,Physical
Emergency System Operator,,,,,Early Warning System,Physical
Social Media,Class 2,Moderate,Moderate,Low,Early Warning System,Physical
Security Monitoring Equipment,Class 2,Moderate,Moderate,Moderate,Early Warning System,Physical
Alerting and Advisory System,Class 3,Moderate,High,Moderate,Early Warning System,Physical
Traffic Management Center,Class 5,High,High,High,Disaster Response and Recovery,Physical
Maint and Constr Management Center,Class 5,High,High,High,Disaster Response and Recovery,Physical
Transit Management Center,Class 5,High,High,High,Disaster Response and Recovery,Physical
Transit Operations Personnel,,,,,Disaster Response and Recovery,Physical
Other Transit Management Centers,Class 2,Moderate,Moderate,Moderate,Disaster Response and Recovery,Physical
Traffic Operations Personnel,,,,,Disaster Response and Recovery,Physical
Maint and Constr Center Personnel,,,,,Disaster Response and Recovery,Physical
Other Traffic Management Centers,Class 5,Moderate,High,High,Disaster Response and Recovery,Physical
Emergency Management Center,Class 5,High,High,High,Disaster Response and Recovery,Physical
Other Emergency Management Centers,Class 5,High,High,High,Disaster Response and Recovery,Physical
Emergency System Operator,,,,,Disaster Response and Recovery,Physical
Public Health System,Class 5,High,High,High,Disaster Response and Recovery,Physical
Rail Operations Center,Class 5,High,High,High,Disaster Response and Recovery,Physical
Other Maint and Constr Mgmt Centers,Class 2,Moderate,Moderate,Moderate,Disaster Response and Recovery,Physical
Asset Management System,Class 2,Moderate,Moderate,Moderate,Disaster Response and Recovery,Physical
Traffic Management Center,Class 5,High,High,High,Evacuation and Reentry Management,Physical
Maint and Constr Management Center,Class 5,High,High,High,Evacuation and Reentry Management,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Evacuation and Reentry Management,Physical
Transit Management Center,Class 5,High,High,High,Evacuation and Reentry Management,Physical
Transit Operations Personnel,,,,,Evacuation and Reentry Management,Physical
Other Transit Management Centers,Class 2,Moderate,Moderate,Moderate,Evacuation and Reentry Management,Physical
Traffic Operations Personnel,,,,,Evacuation and Reentry Management,Physical
Maint and Constr Center Personnel,,,,,Evacuation and Reentry Management,Physical
Other Traffic Management Centers,Class 5,Moderate,High,High,Evacuation and Reentry Management,Physical
Payment Administration Center,Class 5,Low,Moderate,High,Evacuation and Reentry Management,Physical
Emergency Management Center,Class 5,High,High,High,Evacuation and Reentry Management,Physical
Other Emergency Management Centers,Class 5,High,High,High,Evacuation and Reentry Management,Physical
Emergency System Operator,,,,,Evacuation and Reentry Management,Physical
Shelter Provider Center,Class 1,Low,Moderate,Moderate,Evacuation and Reentry Management,Physical
Public Health System,Class 5,High,High,High,Evacuation and Reentry Management,Physical
Rail Operations Center,Class 5,High,High,High,Evacuation and Reentry Management,Physical
Population and Housing Data System,Class 2,Moderate,Moderate,Moderate,Evacuation and Reentry Management,Physical
Special Needs Registry,Class 2,Moderate,Moderate,Moderate,Evacuation and Reentry Management,Physical
Traffic Management Center,Class 1,Low,Moderate,Moderate,Disaster Traveler Information,Physical
Transportation Information Center,Class 3,Moderate,High,Moderate,Disaster Traveler Information,Physical
Personal Information Device,Class 3,Moderate,High,Moderate,Disaster Traveler Information,Physical
Transit Management Center,Class 3,Low,High,Moderate,Disaster Traveler Information,Physical
Weather Service System,Class 1,Low,Moderate,Moderate,Disaster Traveler Information,Physical
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Disaster Traveler Information,Physical
TIC Operator,,,,,Disaster Traveler Information,Physical
Emergency Management Center,Class 3,Low,High,Moderate,Disaster Traveler Information,Physical
Shelter Provider Center,Class 1,Low,Moderate,Moderate,Disaster Traveler Information,Physical
Travel Services Provider System,Class 1,Low,Moderate,Moderate,Disaster Traveler Information,Physical
Traveler,,,,,Disaster Traveler Information,Physical
Care Facility,Class 1,Low,Moderate,Moderate,Disaster Traveler Information,Physical
Emergency Telecommunications System,Class 1,Low,Low,Low,Disaster Traveler Information,Physical
Traveler Support Equipment,Class 3,Moderate,High,Moderate,Disaster Traveler Information,Physical
Other Transportation Information Centers,Class 3,Low,High,Moderate,Disaster Traveler Information,Physical
Media,Class 1,Low,Low,Moderate,Disaster Traveler Information,Physical
Traveler Information Voice System,Class 1,Low,Moderate,Low,Disaster Traveler Information,Physical
Light Vehicle OBE,Class 3,Moderate,High,Moderate,Disaster Traveler Information,Physical
Light Vehicle Driver,,,,,Disaster Traveler Information,Physical
Traffic Management Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Maint and Constr Management Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Low,ITS Data Warehouse,Physical
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Low,ITS Data Warehouse,Physical
Intermodal Terminal,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Transportation Information Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Transit Management Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Alternate Mode Transportation Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Emissions Management Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Weather Service System,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Surface Transportation Weather Service,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Archived Data System,Class 5,High,High,High,ITS Data Warehouse,Physical
Payment Administration Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Emergency Management Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Border Inspection Administration Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Archived Data User System,Class 4,High,High,Low,ITS Data Warehouse,Physical
Other Archived Data Systems,Class 5,Moderate,High,High,ITS Data Warehouse,Physical
Archived Data Administrator,,,,,ITS Data Warehouse,Physical
Other Data Sources,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Asset Management System,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Parking Management Center,Class 4,High,High,Moderate,ITS Data Warehouse,Physical
Driver,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Vehicle,Class 3,Moderate,High,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Other Vehicles,Class 3,Low,High,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Transportation Information Center,Class 1,Low,Moderate,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Traffic Operations Personnel,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Basic Vehicle,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Vehicle Characteristics,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Potential Obstacles,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Vulnerable Road Users,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control,Physical
Driver,,,,,Automated Vehicle Operations,Physical
Vehicle,Class 3,Moderate,High,Moderate,Automated Vehicle Operations,Physical
Other Vehicles,Class 3,Low,High,Moderate,Automated Vehicle Operations,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Automated Vehicle Operations,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Automated Vehicle Operations,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Automated Vehicle Operations,Physical
Transportation Information Center,Class 3,Moderate,High,Moderate,Automated Vehicle Operations,Physical
Traffic Operations Personnel,,,,,Automated Vehicle Operations,Physical
Basic Vehicle,,,,,Automated Vehicle Operations,Physical
Vehicle Characteristics,,,,,Automated Vehicle Operations,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Automated Vehicle Operations,Physical
Potential Obstacles,,,,,Automated Vehicle Operations,Physical
Vulnerable Road Users,,,,,Automated Vehicle Operations,Physical
Driver,,,,,Autonomous Vehicle Safety Systems,Physical
Vehicle,Class 1,Not Applicable,Low,Low,Autonomous Vehicle Safety Systems,Physical
Basic Vehicle,,,,,Autonomous Vehicle Safety Systems,Physical
Vehicle Characteristics,,,,,Autonomous Vehicle Safety Systems,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Autonomous Vehicle Safety Systems,Physical
Potential Obstacles,,,,,Autonomous Vehicle Safety Systems,Physical
Vulnerable Road Users,,,,,Autonomous Vehicle Safety Systems,Physical
Personal Information Device,Class 5,High,High,High,Parking Electronic Payment,Physical
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Parking Electronic Payment,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,Parking Electronic Payment,Physical
Payment Administration Center,Class 4,High,High,Moderate,Parking Electronic Payment,Physical
Payment Device,Class 5,Moderate,Moderate,High,Parking Electronic Payment,Physical
Parking Area Equipment,Class 5,High,High,High,Parking Electronic Payment,Physical
Parking Operator,,,,,Parking Electronic Payment,Physical
Parking Management Center,Class 5,High,High,High,Parking Electronic Payment,Physical
Parking Manager,,,,,Parking Electronic Payment,Physical
Light Vehicle OBE,Class 5,High,High,High,Parking Electronic Payment,Physical
Light Vehicle Driver,,,,,Parking Electronic Payment,Physical
Freight Equipment,Class 2,Moderate,Moderate,Moderate,Smart Roadside and Virtual WIM,Physical
Commercial Vehicle OBE,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM,Physical
Fleet and Freight Management Center,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM,Physical
Commercial Vehicle Driver,,,,,Smart Roadside and Virtual WIM,Physical
Enforcement Center,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM,Physical
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM,Physical
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM,Physical
Commercial Vehicle Inspector,,,,,Smart Roadside and Virtual WIM,Physical
Other CV Administration Centers,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM,Physical
Basic Commercial Vehicle,,,,,Smart Roadside and Virtual WIM,Physical
Driver Identification Card,Class 4,High,Moderate,Moderate,Smart Roadside and Virtual WIM,Physical
Center,Class 5,High,High,High,Center Maintenance,Physical
Service Monitor System,Class 5,High,High,High,Center Maintenance,Physical
Center Personnel,,,,,Center Maintenance,Physical
Support Maintenance Personnel,,,,,Center Maintenance,Physical
Support Maintenance Equipment,Class 5,Moderate,High,High,Center Maintenance,Physical
Driver,,,,,Management of Electronic Traffic Regulations (METR),Physical
Vehicle,Class 2,Moderate,Moderate,Moderate,Management of Electronic Traffic Regulations (METR),Physical
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR),Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR),Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR),Physical
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Management of Electronic Traffic Regulations (METR),Physical
Maint and Constr Vehicle OBE,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR),Physical
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR),Physical
Traveler,,,,,Management of Electronic Traffic Regulations (METR),Physical
METR System,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR),Physical
Other METR Distribution Centers,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR),Physical
Non-METR Distribution Center,Class 2,Moderate,Moderate,Moderate,Management of Electronic Traffic Regulations (METR),Physical
METR Distribution Center,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR),Physical
METR Rule-Maker/Agent,,,,,Management of Electronic Traffic Regulations (METR),Physical
Other METR Systems,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR),Physical
Driver,,,,,Loading Zone Management,Physical
Vehicle,Class 2,Moderate,Moderate,Moderate,Loading Zone Management,Physical
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,Loading Zone Management,Physical
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Loading Zone Management,Physical
Personal Information Device,Class 4,High,High,Moderate,Loading Zone Management,Physical
Parking Area Equipment,Class 2,Moderate,Moderate,Moderate,Loading Zone Management,Physical
Parking Management Center,Class 4,High,High,Moderate,Loading Zone Management,Physical
Parking Manager,,,,,Loading Zone Management,Physical
Vehicle Characteristics,,,,,Loading Zone Management,Physical
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Field Equipment Maintenance,Physical
Maint and Constr Center Personnel,,,,,Field Equipment Maintenance,Physical
Maint and Constr Field Personnel,,,,,Field Equipment Maintenance,Physical
Center,Class 3,Moderate,High,Moderate,Field Equipment Maintenance,Physical
Field Maintenance Equipment,Class 5,Moderate,High,High,Field Equipment Maintenance,Physical
Service Monitor System,Class 2,Moderate,Moderate,Moderate,Field Equipment Maintenance,Physical
