NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage
Vehicle,Class 1,Low,Low,Moderate,Reversible Lane Management
Traffic Management Center,Class 3,Moderate,High,Moderate,Reversible Lane Management
ITS Roadway Equipment,Class 4,High,High,Moderate,Reversible Lane Management
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Moderate,Reversible Lane Management
Traffic Operations Personnel,,,,,Reversible Lane Management
Other ITS Roadway Equipment,Class 4,High,High,Moderate,Reversible Lane Management
Vehicle Characteristics,,,,,Reversible Lane Management
Driver,,,,,Speed Warning and Enforcement
Vehicle,Class 1,Low,Low,Moderate,Speed Warning and Enforcement
Traffic Management Center,Class 3,Moderate,High,Moderate,Speed Warning and Enforcement
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Speed Warning and Enforcement
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Speed Warning and Enforcement
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Moderate,Speed Warning and Enforcement
Enforcement Center,Class 3,Moderate,High,Moderate,Speed Warning and Enforcement
Vehicle Characteristics,,,,,Speed Warning and Enforcement
Driver,,,,,Drawbridge Management
Traffic Management Center,Class 3,Moderate,High,Moderate,Drawbridge Management
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Drawbridge Management
Transportation Information Center,Class 1,Low,Low,Moderate,Drawbridge Management
Traffic Operations Personnel,,,,,Drawbridge Management
Multimodal Crossing Equipment,Class 2,Moderate,Moderate,Moderate,Drawbridge Management
Driver,,,,,Roadway Closure Management
Traffic Management Center,Class 3,Moderate,High,Moderate,Roadway Closure Management
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Roadway Closure Management
ITS Roadway Equipment,Class 4,High,High,Moderate,Roadway Closure Management
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Roadway Closure Management
Transportation Information Center,Class 1,Low,Low,Moderate,Roadway Closure Management
Transit Management Center,Class 1,Low,Low,Moderate,Roadway Closure Management
Traffic Operations Personnel,,,,,Roadway Closure Management
Maint and Constr Vehicle OBE,Class 3,Moderate,High,Moderate,Roadway Closure Management
Maint and Constr Center Personnel,,,,,Roadway Closure Management
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Roadway Closure Management
Emergency Personnel,,,,,Roadway Closure Management
Emergency Management Center,Class 3,Moderate,High,Moderate,Roadway Closure Management
Other ITS Roadway Equipment,Class 4,High,High,Moderate,Roadway Closure Management
Emergency System Operator,,,,,Roadway Closure Management
Basic Vehicle,Class 1,Not Applicable,Low,Low,Roadway Closure Management
Maint and Constr Vehicle Operator,,,,,Roadway Closure Management
Driver,,,,,Variable Speed Limits
Traffic Management Center,Class 3,Moderate,High,Moderate,Variable Speed Limits
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Variable Speed Limits
Traffic Operations Personnel,,,,,Variable Speed Limits
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Variable Speed Limits
Vehicle Characteristics,,,,,Variable Speed Limits
Roadway Environment,Class 1,Not Applicable,Low,Low,Variable Speed Limits
Driver,,,,,Dynamic Lane Management and Shoulder Use
Vehicle,Class 3,Low,High,Moderate,Dynamic Lane Management and Shoulder Use
Traffic Management Center,Class 3,Moderate,High,Moderate,Dynamic Lane Management and Shoulder Use
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Dynamic Lane Management and Shoulder Use
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Dynamic Lane Management and Shoulder Use
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Dynamic Lane Management and Shoulder Use
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Dynamic Lane Management and Shoulder Use
Traffic Operations Personnel,,,,,Dynamic Lane Management and Shoulder Use
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Dynamic Lane Management and Shoulder Use
Other Traffic Management Centers,Class 3,Moderate,High,Moderate,Dynamic Lane Management and Shoulder Use
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Dynamic Lane Management and Shoulder Use
Border Inspection System,Class 1,Low,Moderate,Low,Dynamic Lane Management and Shoulder Use
Multimodal Crossing Equipment,Class 1,Low,Moderate,Low,Dynamic Lane Management and Shoulder Use
Vehicle Characteristics,,,,,Dynamic Lane Management and Shoulder Use
Driver,,,,,Dynamic Roadway Warning
Traffic Management Center,Class 3,Moderate,High,Moderate,Dynamic Roadway Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Dynamic Roadway Warning
Traffic Operations Personnel,,,,,Dynamic Roadway Warning
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Dynamic Roadway Warning
MMV User,,,,,Dynamic Roadway Warning
Vehicle Characteristics,,,,,Dynamic Roadway Warning
Potential Obstacles,,,,,Dynamic Roadway Warning
Vulnerable Road Users,,,,,Dynamic Roadway Warning
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Vehicle and Equipment Tracking
Maint and Constr Vehicle OBE,Class 5,Moderate,Moderate,High,Maintenance and Construction Vehicle and Equipment Tracking
Maint and Constr Center Personnel,,,,,Maintenance and Construction Vehicle and Equipment Tracking
Location and Time Data Source,Class 5,Moderate,High,High,Maintenance and Construction Vehicle and Equipment Tracking
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Vehicle Maintenance
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Vehicle Maintenance
Maint and Constr Center Personnel,,,,,Maintenance and Construction Vehicle Maintenance
Basic Maint and Constr Vehicle,,,,,Maintenance and Construction Vehicle Maintenance
Equipment Repair Facility,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Vehicle Maintenance
Maint and Constr Vehicle Operator,,,,,Maintenance and Construction Vehicle Maintenance
Vehicle,Class 1,Low,Moderate,Moderate,Weather Data Collection
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Weather Data Collection
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Weather Data Collection
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Weather Data Collection
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Weather Data Collection
Transportation Information Center,Class 3,Low,High,Moderate,Weather Data Collection
Traffic Operations Personnel,,,,,Weather Data Collection
Weather Service System,Class 1,Low,Moderate,Moderate,Weather Data Collection
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Weather Data Collection
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Weather Data Collection
Maint and Constr Center Personnel,,,,,Weather Data Collection
Roadway Environment,Class 1,Not Applicable,Low,Low,Weather Data Collection
Traffic Management Center,Class 1,Low,Low,Moderate,Weather Information Processing and Distribution
Maint and Constr Management Center,Class 1,Low,Moderate,Moderate,Weather Information Processing and Distribution
Transportation Information Center,Class 1,Low,Low,Moderate,Weather Information Processing and Distribution
Transit Management Center,Class 1,Low,Low,Moderate,Weather Information Processing and Distribution
Weather Service System,Class 1,Low,Moderate,Moderate,Weather Information Processing and Distribution
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Weather Information Processing and Distribution
Maint and Constr Center Personnel,,,,,Weather Information Processing and Distribution
Emergency Management Center,Class 1,Low,Low,Moderate,Weather Information Processing and Distribution
Rail Operations Center,Class 1,Low,Low,Low,Weather Information Processing and Distribution
Media,Class 1,Low,Low,Low,Weather Information Processing and Distribution
Other Maint and Constr Mgmt Centers,Class 1,Low,Moderate,Low,Weather Information Processing and Distribution
Driver,,,,,Roadway Automated Treatment
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Roadway Automated Treatment
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Roadway Automated Treatment
Maint and Constr Center Personnel,,,,,Roadway Automated Treatment
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Roadway Automated Treatment
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Winter Maintenance
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Winter Maintenance
Transportation Information Center,Class 1,Low,Low,Moderate,Winter Maintenance
Transit Management Center,Class 1,Low,Low,Moderate,Winter Maintenance
Weather Service System,Class 1,Low,Moderate,Moderate,Winter Maintenance
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Winter Maintenance
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Winter Maintenance
Maint and Constr Center Personnel,,,,,Winter Maintenance
Other MCV OBEs,Class 1,Low,Moderate,Low,Winter Maintenance
Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Winter Maintenance
Media,Class 1,Low,Low,Low,Winter Maintenance
Storage Facility Data Acquisition System,Class 2,Moderate,Moderate,Moderate,Winter Maintenance
Maint and Constr Administrative Systems,Class 2,Moderate,Moderate,Moderate,Winter Maintenance
Basic Maint and Constr Vehicle,,,,,Winter Maintenance
Other Maint and Constr Mgmt Centers,Class 1,Low,Moderate,Moderate,Winter Maintenance
Maint and Constr Vehicle Operator,,,,,Winter Maintenance
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Roadway Maintenance and Construction
Weather Service System,Class 1,Low,Moderate,Moderate,Roadway Maintenance and Construction
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Roadway Maintenance and Construction
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Roadway Maintenance and Construction
Maint and Constr Center Personnel,,,,,Roadway Maintenance and Construction
Maint and Constr Field Personnel,,,,,Roadway Maintenance and Construction
Center,Class 2,Moderate,Moderate,Moderate,Roadway Maintenance and Construction
Field Maintenance Equipment,Class 5,Moderate,High,High,Roadway Maintenance and Construction
Storage Facility Data Acquisition System,Class 2,Moderate,Moderate,Moderate,Roadway Maintenance and Construction
Maint and Constr Administrative Systems,Class 2,Moderate,Moderate,Moderate,Roadway Maintenance and Construction
Basic Maint and Constr Vehicle,,,,,Roadway Maintenance and Construction
Asset Management System,Class 2,Moderate,Moderate,Moderate,Roadway Maintenance and Construction
Field,Class 5,Moderate,Moderate,High,Roadway Maintenance and Construction
Maint and Constr Vehicle Operator,,,,,Roadway Maintenance and Construction
Driver,,,,,Work Zone Management
Vehicle,Class 1,Low,Low,Moderate,Work Zone Management
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Work Zone Management
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Work Zone Management
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Work Zone Management
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Work Zone Management
Transportation Information Center,Class 1,Low,Moderate,Moderate,Work Zone Management
Transit Management Center,Class 1,Low,Low,Moderate,Work Zone Management
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Work Zone Management
Maint and Constr Center Personnel,,,,,Work Zone Management
Emergency Management Center,Class 1,Low,Low,Moderate,Work Zone Management
Media,Class 1,Low,Low,Moderate,Work Zone Management
Maint and Constr Administrative Systems,Class 2,Moderate,Moderate,Moderate,Work Zone Management
Other Maint and Constr Mgmt Centers,Class 1,Low,Moderate,Moderate,Work Zone Management
Basic Vehicle,Class 1,Not Applicable,Low,Low,Work Zone Management
Maint and Constr Vehicle Operator,,,,,Work Zone Management
Traffic Management Center,Class 5,Low,Moderate,High,Maintenance and Construction Activity Coordination
Maint and Constr Management Center,Class 5,Moderate,High,High,Maintenance and Construction Activity Coordination
Transportation Information Center,Class 5,Low,Low,High,Maintenance and Construction Activity Coordination
Transit Management Center,Class 5,Low,Moderate,High,Maintenance and Construction Activity Coordination
Alternate Mode Transportation Center,Class 5,Low,Low,High,Maintenance and Construction Activity Coordination
Maint and Constr Center Personnel,,,,,Maintenance and Construction Activity Coordination
Emergency Management Center,Class 5,Low,Moderate,High,Maintenance and Construction Activity Coordination
Rail Operations Center,Class 5,Low,Moderate,High,Maintenance and Construction Activity Coordination
Media,Class 5,Low,Low,High,Maintenance and Construction Activity Coordination
Commercial Vehicle Administration Center,Class 1,Low,Low,Moderate,Maintenance and Construction Activity Coordination
Maint and Constr Administrative Systems,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Activity Coordination
Other Maint and Constr Mgmt Centers,Class 1,Low,Moderate,Low,Maintenance and Construction Activity Coordination
Asset Management System,Class 2,Moderate,Moderate,Low,Maintenance and Construction Activity Coordination
Vehicle,Class 1,Low,Moderate,Low,Infrastructure Monitoring
Maint and Constr Management Center,Class 5,High,High,High,Infrastructure Monitoring
ITS Roadway Equipment,Class 4,High,Moderate,Moderate,Infrastructure Monitoring
Connected Vehicle Roadside Equipment,Class 5,Moderate,Moderate,High,Infrastructure Monitoring
Maint and Constr Vehicle OBE,Class 4,High,High,Moderate,Infrastructure Monitoring
Maint and Constr Center Personnel,,,,,Infrastructure Monitoring
Asset Management System,Class 2,Moderate,Moderate,Moderate,Infrastructure Monitoring
Maint and Constr Vehicle Operator,,,,,Infrastructure Monitoring
Traffic Management Center,Class 1,Low,Low,Low,Transit Vehicle Tracking
Transportation Information Center,Class 1,Low,Low,Moderate,Transit Vehicle Tracking
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Transit Vehicle Tracking
Transit Operations Personnel,,,,,Transit Vehicle Tracking
Transit Vehicle OBE,Class 5,Moderate,Moderate,High,Transit Vehicle Tracking
Location and Time Data Source,Class 5,Moderate,High,High,Transit Vehicle Tracking
Traffic Management Center,Class 4,High,Moderate,Moderate,Transit Fixed-Route Operations
Maint and Constr Management Center,Class 3,Low,High,Moderate,Transit Fixed-Route Operations
Transportation Information Center,Class 1,Low,Low,Moderate,Transit Fixed-Route Operations
Transit Management Center,Class 4,High,High,Moderate,Transit Fixed-Route Operations
Transit Vehicle Operator,,,,,Transit Fixed-Route Operations
Transit Operations Personnel,,,,,Transit Fixed-Route Operations
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,Transit Fixed-Route Operations
Transportation Information Center,Class 1,Low,Moderate,Moderate,Transit Fare Collection Management
Personal Information Device,Class 5,High,High,High,Transit Fare Collection Management
Transit Management Center,Class 5,High,High,High,Transit Fare Collection Management
Transit Vehicle Operator,,,,,Transit Fare Collection Management
Transit Operations Personnel,,,,,Transit Fare Collection Management
Transit Vehicle OBE,Class 5,High,High,High,Transit Fare Collection Management
Other Transit Management Centers,Class 1,Low,Moderate,Moderate,Transit Fare Collection Management
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Transit Fare Collection Management
Financial Center,Class 2,Moderate,Moderate,Moderate,Transit Fare Collection Management
Payment Administration Center,Class 4,High,High,Moderate,Transit Fare Collection Management
Payment Device,Class 5,Moderate,Moderate,High,Transit Fare Collection Management
Traveler,,,,,Transit Fare Collection Management
Traveler Support Equipment,Class 5,High,High,High,Transit Fare Collection Management
Transportation Information Center,Class 1,Low,Low,Moderate,Transit Security
Transit Management Center,Class 5,High,High,High,Transit Security
Transit Vehicle Operator,,,,,Transit Security
Transit Operations Personnel,,,,,Transit Security
Transit Vehicle OBE,Class 5,Moderate,High,High,Transit Security
Emergency Management Center,Class 5,High,High,High,Transit Security
Other Emergency Management Centers,Class 5,High,High,High,Transit Security
Emergency System Operator,,,,,Transit Security
Traveler,,,,,Transit Security
Rail Operations Center,Class 5,Moderate,Moderate,High,Transit Security
Traveler Support Equipment,Class 3,Moderate,High,Moderate,Transit Security
Media,Class 1,Low,Low,Moderate,Transit Security
Basic Transit Vehicle,,,,,Transit Security
Security Monitoring Equipment,Class 4,High,Moderate,Moderate,Transit Security
Alerting and Advisory System,Class 5,Moderate,High,High,Transit Security
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Transit Fleet Management
Transit Vehicle Operator,,,,,Transit Fleet Management
Transit Operations Personnel,,,,,Transit Fleet Management
Transit Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Transit Fleet Management
Basic Transit Vehicle,,,,,Transit Fleet Management
Traffic Management Center,Class 1,Low,Low,Low,Multi-modal Coordination
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Multi-modal Coordination
Transit Operations Personnel,,,,,Multi-modal Coordination
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,Multi-modal Coordination
Alternate Mode Transportation Center,Class 2,Moderate,Moderate,Moderate,Multi-modal Coordination
Other Transit Management Centers,Class 2,Moderate,Moderate,Moderate,Multi-modal Coordination
Event Promoter System,Class 3,Moderate,High,Moderate,Multi-modal Coordination
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Multi-modal Coordination
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Transit Traveler Information
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Transit Traveler Information
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Transit Traveler Information
Transit Operations Personnel,,,,,Transit Traveler Information
Transit Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Transit Traveler Information
Other Transit Management Centers,Class 1,Low,Moderate,Moderate,Transit Traveler Information
Traveler,,,,,Transit Traveler Information
Traveler Support Equipment,Class 2,Moderate,Moderate,Moderate,Transit Traveler Information
Other Transportation Information Centers,Class 1,Low,Moderate,Low,Transit Traveler Information
Media,Class 1,Low,Low,Moderate,Transit Traveler Information
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Transit Passenger Counting
Transit Operations Personnel,,,,,Transit Passenger Counting
Transit Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Transit Passenger Counting
Traveler Support Equipment,Class 1,Low,Moderate,Moderate,Transit Passenger Counting
Driver,,,,,Broadcast Traveler Information
Vehicle,Class 1,Not Applicable,Low,Moderate,Broadcast Traveler Information
Traffic Management Center,Class 1,Low,Moderate,Moderate,Broadcast Traveler Information
Maint and Constr Management Center,Class 5,Low,High,High,Broadcast Traveler Information
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Low,Broadcast Traveler Information
Transportation Information Center,Class 5,Moderate,Moderate,High,Broadcast Traveler Information
Personal Information Device,Class 1,Not Applicable,Low,Low,Broadcast Traveler Information
Transit Management Center,Class 1,Low,Moderate,Moderate,Broadcast Traveler Information
Emissions Management Center,Class 1,Not Applicable,Moderate,Low,Broadcast Traveler Information
Weather Service System,Class 1,Low,Moderate,Moderate,Broadcast Traveler Information
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Broadcast Traveler Information
TIC Operator,,,,,Broadcast Traveler Information
Payment Administration Center,Class 1,Low,Moderate,Low,Broadcast Traveler Information
Event Promoter System,Class 3,Moderate,High,Moderate,Broadcast Traveler Information
Emergency Management Center,Class 1,Low,Moderate,Moderate,Broadcast Traveler Information
Traveler,,,,,Broadcast Traveler Information
Traveler Support Equipment,Class 1,Not Applicable,Low,Low,Broadcast Traveler Information
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,Broadcast Traveler Information
Media,Class 1,Low,Low,Moderate,Broadcast Traveler Information
Border Inspection System,Class 1,Low,Moderate,Low,Broadcast Traveler Information
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Broadcast Traveler Information
Traffic Management Center,Class 1,Low,Moderate,Moderate,Personalized Traveler Information
Maint and Constr Management Center,Class 5,Low,High,High,Personalized Traveler Information
Transportation Information Center,Class 5,Moderate,Moderate,High,Personalized Traveler Information
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Personalized Traveler Information
Transit Management Center,Class 1,Low,Moderate,Moderate,Personalized Traveler Information
Emissions Management Center,Class 1,Not Applicable,Moderate,Low,Personalized Traveler Information
Weather Service System,Class 1,Low,Moderate,Moderate,Personalized Traveler Information
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Personalized Traveler Information
TIC Operator,,,,,Personalized Traveler Information
Payment Administration Center,Class 1,Low,Moderate,Low,Personalized Traveler Information
Event Promoter System,Class 3,Moderate,High,Moderate,Personalized Traveler Information
Emergency Management Center,Class 1,Low,Moderate,Moderate,Personalized Traveler Information
Traveler,,,,,Personalized Traveler Information
Traveler Support Equipment,Class 2,Moderate,Moderate,Moderate,Personalized Traveler Information
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,Personalized Traveler Information
Media,Class 1,Low,Low,Moderate,Personalized Traveler Information
Social Media,Class 2,Moderate,Moderate,Low,Personalized Traveler Information
Border Inspection System,Class 1,Low,Moderate,Low,Personalized Traveler Information
Traveler Information Voice System,Class 1,Low,Moderate,Low,Personalized Traveler Information
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Personalized Traveler Information
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Personalized Traveler Information
Light Vehicle Driver,,,,,Personalized Traveler Information
Traffic Management Center,Class 1,Low,Moderate,Moderate,En-Route Guidance
Maint and Constr Management Center,Class 5,Low,High,High,En-Route Guidance
Transportation Information Center,Class 5,Moderate,Moderate,High,En-Route Guidance
Personal Information Device,Class 2,Moderate,Moderate,Moderate,En-Route Guidance
Transit Management Center,Class 1,Low,Moderate,Moderate,En-Route Guidance
TIC Operator,,,,,En-Route Guidance
Traveler,,,,,En-Route Guidance
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,En-Route Guidance
MMV User,,,,,En-Route Guidance
Micromobility Vehicle OBE,Class 2,Moderate,Moderate,Moderate,En-Route Guidance
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,En-Route Guidance
Light Vehicle Driver,,,,,En-Route Guidance
Traffic Management Center,Class 4,High,High,Moderate,Trip Planning and Payment
Maint and Constr Management Center,Class 5,Low,High,High,Trip Planning and Payment
Transportation Information Center,Class 5,High,Moderate,High,Trip Planning and Payment
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment
Alternate Mode Transportation Center,Class 1,Low,Moderate,Low,Trip Planning and Payment
TIC Operator,,,,,Trip Planning and Payment
Payment Administration Center,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment
Traveler,,,,,Trip Planning and Payment
Traveler Support Equipment,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment
Shared Use Transportation Center,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment
Eligibility Certification Management System,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment
Light Vehicle Driver,,,,,Trip Planning and Payment
Electric Charging Management Center,Class 2,Moderate,Moderate,Moderate,Trip Planning and Payment
Transportation Information Center,Class 4,High,High,Moderate,Travel Services Information and Reservation
Personal Information Device,Class 5,High,High,High,Travel Services Information and Reservation
Alternate Mode Transportation Center,Class 2,Moderate,Moderate,Low,Travel Services Information and Reservation
TIC Operator,,,,,Travel Services Information and Reservation
Financial Center,Class 2,Moderate,Moderate,Moderate,Travel Services Information and Reservation
Payment Device,Class 5,Moderate,Moderate,High,Travel Services Information and Reservation
Travel Services Provider System,Class 2,Moderate,Moderate,Moderate,Travel Services Information and Reservation
Traveler,,,,,Travel Services Information and Reservation
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Travel Services Information and Reservation
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Travel Services Information and Reservation
Light Vehicle OBE,Class 5,Moderate,Moderate,High,Travel Services Information and Reservation
Light Vehicle Driver,,,,,Travel Services Information and Reservation
Commercial Vehicle OBE,Class 5,High,High,High,Carrier Operations and Fleet Management
Fleet and Freight Management Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management
Transportation Information Center,Class 1,Low,Moderate,Moderate,Carrier Operations and Fleet Management
Commercial Vehicle Driver,,,,,Carrier Operations and Fleet Management
Fleet-Freight Manager,,,,,Carrier Operations and Fleet Management
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management
Basic Commercial Vehicle,,,,,Carrier Operations and Fleet Management
Location and Time Data Source,Class 5,Moderate,High,High,Carrier Operations and Fleet Management
Freight Equipment,Class 2,Moderate,Moderate,Moderate,Freight Administration
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Freight Administration
Commercial Vehicle OBE,Class 4,High,High,Moderate,Freight Administration
Fleet and Freight Management Center,Class 4,High,High,Moderate,Freight Administration
Commercial Vehicle Driver,,,,,Freight Administration
Fleet-Freight Manager,,,,,Freight Administration
Intermodal Customer System,Class 2,Moderate,Moderate,Moderate,Freight Administration
Freight Distribution and Logistics Center,Class 2,Moderate,Moderate,Moderate,Freight Administration
Basic Commercial Vehicle,,,,,Freight Administration
Freight Equipment,Class 2,Moderate,Moderate,Moderate,Electronic Clearance
Commercial Vehicle OBE,Class 4,High,High,Moderate,Electronic Clearance
Fleet and Freight Management Center,Class 4,High,High,Moderate,Electronic Clearance
Commercial Vehicle Driver,,,,,Electronic Clearance
Enforcement Center,Class 4,High,High,Moderate,Electronic Clearance
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,Electronic Clearance
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Electronic Clearance
Commercial Vehicle Inspector,,,,,Electronic Clearance
Other CV Administration Centers,Class 4,High,High,Moderate,Electronic Clearance
Basic Commercial Vehicle,,,,,Electronic Clearance
Traffic Management Center,Class 1,Low,Moderate,Moderate,CV Administrative Processes
Maint and Constr Management Center,Class 3,Low,High,Moderate,CV Administrative Processes
Fleet and Freight Management Center,Class 4,High,High,Moderate,CV Administrative Processes
Transportation Information Center,Class 1,Low,Low,Low,CV Administrative Processes
Fleet-Freight Manager,,,,,CV Administrative Processes
Enforcement Center,Class 4,High,Moderate,Moderate,CV Administrative Processes
Financial Center,Class 2,Moderate,Moderate,Moderate,CV Administrative Processes
DMV,Class 2,Moderate,Moderate,Moderate,CV Administrative Processes
Commercial Vehicle Check Equipment,Class 2,Moderate,Moderate,Low,CV Administrative Processes
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,CV Administrative Processes
Other CV Administration Centers,Class 4,High,High,Moderate,CV Administrative Processes
CVO Information Requestor Center,Class 4,High,High,Moderate,CV Administrative Processes
Commercial Vehicle Administrator,,,,,CV Administrative Processes
Freight Equipment,Class 2,Moderate,Moderate,Moderate,International Border Electronic Clearance
Commercial Vehicle OBE,Class 2,Moderate,Moderate,Moderate,International Border Electronic Clearance
Fleet and Freight Management Center,Class 4,High,High,Moderate,International Border Electronic Clearance
Commercial Vehicle Driver,,,,,International Border Electronic Clearance
Intermodal Customer System,Class 4,High,High,Moderate,International Border Electronic Clearance
Freight Distribution and Logistics Center,Class 3,Moderate,High,Moderate,International Border Electronic Clearance
Enforcement Center,Class 4,High,Moderate,Low,International Border Electronic Clearance
Border Inspection Administration Center,Class 4,High,High,Moderate,International Border Electronic Clearance
Border Inspection System,Class 4,High,High,Moderate,International Border Electronic Clearance
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,International Border Electronic Clearance
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,International Border Electronic Clearance
Commercial Vehicle Inspector,,,,,International Border Electronic Clearance
Other CV Administration Centers,Class 4,High,High,Moderate,International Border Electronic Clearance
Commercial Vehicle OBE,Class 4,High,High,Moderate,Roadside CVO Safety
Fleet and Freight Management Center,Class 4,High,High,Moderate,Roadside CVO Safety
Commercial Vehicle Driver,,,,,Roadside CVO Safety
Enforcement Center,Class 4,High,High,Moderate,Roadside CVO Safety
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,Roadside CVO Safety
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Roadside CVO Safety
Commercial Vehicle Inspector,,,,,Roadside CVO Safety
Other CV Administration Centers,Class 4,High,High,Moderate,Roadside CVO Safety
Driver Identification Card,Class 4,High,Moderate,Moderate,Roadside CVO Safety
