Source,InformationFlow,Destination
Transit Management Center,emergency transit service response,Emergency Management Center
Transit Management Center,alert status,Emergency Management Center
Transit Management Center,transit emergency data,Emergency Management Center
Transit Management Center,transit system status assessment,Emergency Management Center
Transit Management Center,transit traveler information,Traveler Support Equipment
Transit Management Center,authorization response,Traveler Support Equipment
Transit Management Center,fare management information,Traveler Support Equipment
Transit Management Center,alarm acknowledge,Traveler Support Equipment
Transit Management Center,transit incident information,Media
Transit Management Center,transit information for media,Media
Transit Management Center,transit schedule adherence information,Parking Management Center
Transit Management Center,transit park and ride information,Parking Management Center
Transit Vehicle Operator,transit vehicle operator availability,Transit Management Center
Transit Vehicle Operator,transit vehicle operator input,Transit Vehicle OBE
Transit Operations Personnel,transit operations personnel input,Transit Management Center
Transit Vehicle OBE,vehicle signage data,Vehicle
Transit Vehicle OBE,special vehicle alert,Vehicle
Transit Vehicle OBE,local signal priority request,ITS Roadway Equipment
Transit Vehicle OBE,local signal priority request,Connected Vehicle Roadside Equipment
Transit Vehicle OBE,transit vehicle information,Connected Vehicle Roadside Equipment
Transit Vehicle OBE,vehicle path prediction,Connected Vehicle Roadside Equipment
Transit Vehicle OBE,transfer status,Personal Information Device
Transit Vehicle OBE,transit vehicle information,Personal Information Device
Transit Vehicle OBE,vehicle path prediction,Personal Information Device
Transit Vehicle OBE,transit traveler request,Transit Management Center
Transit Vehicle OBE,transit user information,Transit Management Center
Transit Vehicle OBE,transit vehicle schedule performance,Transit Management Center
Transit Vehicle OBE,transfer request,Transit Management Center
Transit Vehicle OBE,transit vehicle loading data,Transit Management Center
Transit Vehicle OBE,transit vehicle emissions,Transit Management Center
Transit Vehicle OBE,fare collection data,Transit Management Center
Transit Vehicle OBE,demand response passenger and use data,Transit Management Center
Transit Vehicle OBE,transit vehicle location data,Transit Management Center
Transit Vehicle OBE,alarm notification,Transit Management Center
Transit Vehicle OBE,transit vehicle conditions,Transit Management Center
Transit Vehicle OBE,transit vehicle operator authentication information,Transit Management Center
Transit Vehicle OBE,authorization request,Transit Management Center
Transit Vehicle OBE,transit vehicle operator display,Transit Vehicle Operator
Transit Vehicle OBE,authorization request,Payment Administration Center
Transit Vehicle OBE,request for payment,Payment Device
Transit Vehicle OBE,payment device update,Payment Device
Transit Vehicle OBE,alarm notification,Emergency Management Center
Transit Vehicle OBE,secure area sensor data,Emergency Management Center
Transit Vehicle OBE,secure area surveillance data,Emergency Management Center
Transit Vehicle OBE,traveler interface updates,Traveler
Transit Vehicle OBE,collision warning information,Basic Transit Vehicle
Transit Vehicle OBE,transit vehicle control,Basic Transit Vehicle
Alternate Mode Transportation Center,alternate mode information,Traffic Management Center
Alternate Mode Transportation Center,service information response,Transportation Information Center
Alternate Mode Transportation Center,alternate mode information,Transportation Information Center
Alternate Mode Transportation Center,alternate mode service data,Transit Management Center
Alternate Mode Transportation Center,service information response,Transit Management Center
Alternate Mode Transportation Center,alternate mode service coordination,Transit Management Center
Alternate Mode Transportation Center,multimodal archive data,Archived Data System
Other Transit Management Centers,transit service coordination,Transit Management Center
Other Transit Management Centers,transit fare coordination,Transit Management Center
Other Transit Management Centers,transit traveler information coordination,Transit Management Center
Traffic Operations Personnel,traffic operator input,Traffic Management Center
Emissions Management Center,wide area air quality data,Traffic Management Center
Emissions Management Center,low emissions zone operations information,Traffic Management Center
Emissions Management Center,mobile source emissions data,Traffic Management Center
Emissions Management Center,air quality information,Traffic Management Center
Emissions Management Center,low emissions zone coordination,Traffic Management Center
Emissions Management Center,emissions sensor control,ITS Roadway Equipment
Emissions Management Center,air quality sensor control,ITS Roadway Equipment
Emissions Management Center,emissions monitoring application information,Connected Vehicle Roadside Equipment
Emissions Management Center,controlled zone application info,Connected Vehicle Roadside Equipment
Emissions Management Center,air quality information,Transportation Information Center
Emissions Management Center,low emissions zone operations information for public,Transportation Information Center
Emissions Management Center,wide area air quality data,Transit Management Center
Emissions Management Center,low emissions zone operations information,Transit Management Center
Emissions Management Center,low emissions zone coordination,Transit Management Center
Emissions Management Center,emissions archive data,Archived Data System
Emissions Management Center,emissions violation notification,Enforcement Center
Emissions Management Center,access violation notification,Enforcement Center
Emissions Management Center,low emissions zone operations information,Payment Administration Center
Emissions Management Center,low emissions zone coordination,Payment Administration Center
Emissions Management Center,emissions operator presentation,Emissions Management Operator
Emissions Management Center,low emissions zone operations information,Event Promoter System
Emissions Management Center,air quality information,Media
Weather Service System,weather information,Traffic Management Center
Weather Service System,environmental conditions data status,Traffic Management Center
Weather Service System,qualified environmental conditions data,Traffic Management Center
Weather Service System,weather information,Maint and Constr Management Center
Weather Service System,environmental conditions data status,Maint and Constr Management Center
Weather Service System,qualified environmental conditions data,Maint and Constr Management Center
Weather Service System,weather information,Transportation Information Center
Weather Service System,qualified environmental conditions data,Transportation Information Center
Weather Service System,weather information,Transit Management Center
Weather Service System,weather information,Emissions Management Center
Weather Service System,weather archive data,Archived Data System
Weather Service System,weather information,Emergency Management Center
Surface Transportation Weather Service,transportation weather information,Traffic Management Center
Surface Transportation Weather Service,environmental conditions data status,Traffic Management Center
Surface Transportation Weather Service,qualified environmental conditions data,Traffic Management Center
Surface Transportation Weather Service,roadway micro forecast,Traffic Management Center
Surface Transportation Weather Service,transportation weather information,Maint and Constr Management Center
Surface Transportation Weather Service,environmental conditions data status,Maint and Constr Management Center
Surface Transportation Weather Service,qualified environmental conditions data,Maint and Constr Management Center
Surface Transportation Weather Service,roadway micro forecast,Maint and Constr Management Center
Surface Transportation Weather Service,environmental sensor control,ITS Roadway Equipment
Surface Transportation Weather Service,transportation weather information,Transportation Information Center
Surface Transportation Weather Service,transportation weather information,Transit Management Center
Surface Transportation Weather Service,transportation weather information,Archived Data System
Surface Transportation Weather Service,transportation weather information,Emergency Management Center
Maint and Constr Vehicle OBE,driver information,Driver
Maint and Constr Vehicle OBE,vehicle signage data,Vehicle
Maint and Constr Vehicle OBE,special vehicle alert,Vehicle
Maint and Constr Vehicle OBE,local METR information for users,Vehicle
Maint and Constr Vehicle OBE,environmental sensor data,Maint and Constr Management Center
Maint and Constr Vehicle OBE,work zone warning status,Maint and Constr Management Center
Maint and Constr Vehicle OBE,work zone status,Maint and Constr Management Center
Maint and Constr Vehicle OBE,maint and constr dispatch status,Maint and Constr Management Center
Maint and Constr Vehicle OBE,maint and constr vehicle operational data,Maint and Constr Management Center
Maint and Constr Vehicle OBE,infrastructure conditions data,Maint and Constr Management Center
Maint and Constr Vehicle OBE,maint and constr vehicle conditions,Maint and Constr Management Center
Maint and Constr Vehicle OBE,maint and constr vehicle location data,Maint and Constr Management Center
Maint and Constr Vehicle OBE,asset locations,Maint and Constr Management Center
Maint and Constr Vehicle OBE,traffic detector control,ITS Roadway Equipment
Maint and Constr Vehicle OBE,roadway dynamic signage data,ITS Roadway Equipment
Maint and Constr Vehicle OBE,video surveillance control,ITS Roadway Equipment
Maint and Constr Vehicle OBE,environmental sensor data,ITS Roadway Equipment
Maint and Constr Vehicle OBE,environmental sensor control,ITS Roadway Equipment
Maint and Constr Vehicle OBE,local signal priority request,ITS Roadway Equipment
Maint and Constr Vehicle OBE,infrastructure monitoring sensor control,ITS Roadway Equipment
Maint and Constr Vehicle OBE,work zone warning notification,Connected Vehicle Roadside Equipment
Maint and Constr Vehicle OBE,local signal priority request,Connected Vehicle Roadside Equipment
Maint and Constr Vehicle OBE,barrier system control,Connected Vehicle Roadside Equipment
Maint and Constr Vehicle OBE,local METR information for users,Personal Information Device
Maint and Constr Vehicle OBE,work zone warning,Maint and Constr Field Personnel
Maint and Constr Vehicle OBE,work zone warning notification,Other MCV OBEs
Maint and Constr Vehicle OBE,maint and constr vehicle status coordination,Other MCV OBEs
Maint and Constr Vehicle OBE,maint and constr vehicle control,Basic Maint and Constr Vehicle
Maint and Constr Vehicle OBE,maint and constr vehicle conditions,Equipment Repair Facility
Maint and Constr Vehicle OBE,maint and constr vehicle operator presentation,Maint and Constr Vehicle Operator
Maint and Constr Vehicle OBE,maint and constr vehicle condition presentation,Maint and Constr Vehicle Operator
Maint and Constr Vehicle OBE,personnel safety warning,Personnel Device
Maint and Constr Vehicle OBE,asset locations,Personnel Device
Maint and Constr Vehicle OBE,remote vehicle status,Personnel Device
TIC Operator,TIC operator input,Transportation Information Center
Archived Data System,archive status,Traffic Management Center
Archived Data System,archive status,Maint and Constr Management Center
Archived Data System,data collection and monitoring control,ITS Roadway Equipment
Archived Data System,archive status,Intermodal Terminal
Archived Data System,archive status,Transportation Information Center
Archived Data System,archive status,Transit Management Center
Archived Data System,archive status,Alternate Mode Transportation Center
Archived Data System,archive status,Emissions Management Center
Archived Data System,archive status,Weather Service System
Archived Data System,archive status,Surface Transportation Weather Service
Archived Data System,archive status,Payment Administration Center
Archived Data System,archive status,Emergency Management Center
Archived Data System,archive status,Border Inspection Administration Center
Archived Data System,archive status,Commercial Vehicle Administration Center
Archived Data System,government reporting system data,Government Reporting Systems
Archived Data System,archived data products,Archived Data User System
Archived Data System,archive request confirmation,Archived Data User System
Archived Data System,archive analysis results,Archived Data User System
Archived Data System,archive coordination,Other Archived Data Systems
Archived Data System,archive management data,Archived Data Administrator
Archived Data System,archive status,Other Data Sources
Archived Data System,archive status,Asset Management System
Archived Data System,archive status,Parking Management Center
Enforcement Center,service request,Vehicle
Enforcement Center,speed monitoring control,ITS Roadway Equipment
Enforcement Center,automated enforcement parameters,ITS Roadway Equipment
Enforcement Center,information on violators,Fleet and Freight Management Center
Enforcement Center,information on violators,Commercial Vehicle Check Equipment
Enforcement Center,trigger control,Commercial Vehicle Administration Center
Enforcement Center,trigger area definition,Commercial Vehicle Administration Center
Enforcement Center,targeted list,Commercial Vehicle Administration Center
Enforcement Center,information on violators,Commercial Vehicle Administration Center
Wayside Equipment,arriving train information,ITS Roadway Equipment
Wayside Equipment,track status,ITS Roadway Equipment
Wayside Equipment,arriving train information,Connected Vehicle Roadside Equipment
Wayside Equipment,track status,Connected Vehicle Roadside Equipment
Maint and Constr Center Personnel,maint and constr center personnel input,Maint and Constr Management Center
Maint and Constr Field Personnel,personnel monitoring,ITS Roadway Equipment
Maint and Constr Field Personnel,personnel monitoring,Maint and Constr Vehicle OBE
Maint and Constr Field Personnel,field personnel equipment input,Field Maintenance Equipment
Maint and Constr Field Personnel,field personnel equipment input,Field
Maint and Constr Field Personnel,personnel input,Personnel Device
Other MCV OBEs,work zone warning notification,Maint and Constr Vehicle OBE
Other MCV OBEs,maint and constr vehicle status coordination,Maint and Constr Vehicle OBE
Emergency Vehicle OBE,driver information,Driver
Emergency Vehicle OBE,vehicle signage data,Vehicle
Emergency Vehicle OBE,special vehicle alert,Vehicle
Emergency Vehicle OBE,local METR information for users,Vehicle
Emergency Vehicle OBE,vehicle maneuver coordination,Vehicle
Emergency Vehicle OBE,emergency vehicle tracking data,Traffic Management Center
Emergency Vehicle OBE,service patrol incident status,Traffic Management Center
Emergency Vehicle OBE,service patrol dispatch response,Traffic Management Center
Emergency Vehicle OBE,local signal preemption request,ITS Roadway Equipment
Emergency Vehicle OBE,local signal preemption request,Connected Vehicle Roadside Equipment
Emergency Vehicle OBE,barrier system control,Connected Vehicle Roadside Equipment
Emergency Vehicle OBE,incident scene warning notification,Connected Vehicle Roadside Equipment
Emergency Vehicle OBE,container seal interrogation,Freight Equipment
Emergency Vehicle OBE,special vehicle alert,Transportation Information Center
Emergency Vehicle OBE,local METR information for users,Personal Information Device
Emergency Vehicle OBE,emergency personnel information presentation,Emergency Personnel
Emergency Vehicle OBE,incident scene warning,Emergency Personnel
Emergency Vehicle OBE,emergency vehicle tracking data,Emergency Management Center
Emergency Vehicle OBE,emergency dispatch response,Emergency Management Center
Emergency Vehicle OBE,incident scene status,Emergency Management Center
Emergency Vehicle OBE,road closure notification,Emergency Management Center
Emergency Vehicle OBE,incident scene warning status,Emergency Management Center
Emergency Vehicle OBE,incident scene images,Emergency Management Center
Emergency Vehicle OBE,patient transport status,Emergency Management Center
Emergency Vehicle OBE,care facility status request,Care Facility
Emergency Vehicle OBE,patient status,Care Facility
Emergency Vehicle OBE,medical records request,Care Facility
Emergency Vehicle OBE,decision support information,Other EV OBEs
Emergency Vehicle OBE,incident scene status,Other EV OBEs
Emergency Vehicle OBE,incident scene warning notification,Other EV OBEs
Emergency Vehicle OBE,incident scene images,Other EV OBEs
Emergency Vehicle OBE,personnel safety warning,Personnel Device
Emergency Vehicle OBE,decision support information,Personnel Device
Emergency Vehicle OBE,incident scene status,Personnel Device
Emergency Vehicle OBE,incident scene images,Personnel Device
Pedestrian,crossing call,ITS Roadway Equipment
Pedestrian,personal input,Personal Information Device
Emergency Personnel,personnel monitoring,ITS Roadway Equipment
Emergency Personnel,personnel monitoring,Emergency Vehicle OBE
Emergency Personnel,emergency personnel input,Emergency Vehicle OBE
Emergency Personnel,personnel input,Personnel Device
Other Traffic Management Centers,traffic images,Traffic Management Center
Other Traffic Management Centers,road network conditions,Traffic Management Center
Other Traffic Management Centers,device data,Traffic Management Center
Other Traffic Management Centers,device status,Traffic Management Center
Other Traffic Management Centers,incident information,Traffic Management Center
Other Traffic Management Centers,device control request,Traffic Management Center
Other Traffic Management Centers,transportation operational strategies,Traffic Management Center
Other Traffic Management Centers,emergency traffic coordination,Traffic Management Center
Other Traffic Management Centers,traffic image meta data,Traffic Management Center
Financial Center,settlement,Transportation Information Center
Financial Center,payment methods financial institution,Transportation Information Center
Financial Center,settlement,Transit Management Center
Financial Center,settlement,Payment Administration Center
Financial Center,payment methods financial institution,Payment Administration Center
Financial Center,settlement,Commercial Vehicle Administration Center
Financial Center,settlement,Parking Management Center
Financial Center,settlement,Shared Use Transportation Center
Payment Administration Center,toll data,Traffic Management Center
Payment Administration Center,toll probe data,Traffic Management Center
Payment Administration Center,toll data,Fleet and Freight Management Center
Payment Administration Center,toll data,Transportation Information Center
Payment Administration Center,toll probe data,Transportation Information Center
Payment Administration Center,road use charge info,Transportation Information Center
Payment Administration Center,reconciliation response,Transportation Information Center
Payment Administration Center,trip access coordination,Transportation Information Center
Payment Administration Center,user account reports,Personal Information Device
Payment Administration Center,traveler payment request,Personal Information Device
Payment Administration Center,access violation notification,Personal Information Device
Payment Administration Center,registered secureIDs,Personal Information Device
Payment Administration Center,payment methods,Transit Management Center
Payment Administration Center,reconciliation response,Transit Management Center
Payment Administration Center,trip access coordination,Transit Management Center
Payment Administration Center,authorization response,Transit Vehicle OBE
Payment Administration Center,low emissions zone coordination,Emissions Management Center
Payment Administration Center,payment archive data,Archived Data System
Payment Administration Center,payment violation notification,Enforcement Center
Payment Administration Center,payment request,Financial Center
Payment Administration Center,road use charges,ITS Roadway Payment Equipment
Payment Administration Center,authorization response,ITS Roadway Payment Equipment
Payment Administration Center,payment instructions,ITS Roadway Payment Equipment
Payment Administration Center,authorization response,Electric Charging Station
Payment Administration Center,payment information presentation,Payment Administrator
Payment Administration Center,license request,DMV
Payment Administration Center,payment coordination,Other Payment Administration Centers
Payment Administration Center,toll coordination,Other Payment Administration Centers
Payment Administration Center,user account coordination,Other Payment Administration Centers
Payment Administration Center,toll service change response,Emergency Management Center
Payment Administration Center,authorization response,Parking Area Equipment
Payment Administration Center,user account reports,Traveler Support Equipment
Payment Administration Center,traveler payment request,Traveler Support Equipment
Payment Administration Center,authorization response,Traveler Support Equipment
Payment Administration Center,registered secureIDs,Traveler Support Equipment
Payment Administration Center,payment methods,Parking Management Center
Payment Administration Center,payment methods,Shared Use Transportation Center
Payment Administration Center,trip access coordination,Shared Use Transportation Center
Payment Administration Center,traveler eligibility request,Eligibility Certification Management System
Payment Administration Center,user account reports,Light Vehicle OBE
Payment Administration Center,road use charges,Light Vehicle OBE
Payment Administration Center,access violation notification,Light Vehicle OBE
Payment Administration Center,vehicle payment update,Light Vehicle OBE
Payment Administration Center,registered secureIDs,Light Vehicle OBE
Payment Administration Center,payment methods,Electric Charging Management Center
ITS Roadway Payment Equipment,road use history,Payment Administration Center
ITS Roadway Payment Equipment,payment transactions,Payment Administration Center
ITS Roadway Payment Equipment,road pricing equipment fault,Payment Administration Center
ITS Roadway Payment Equipment,authorization request,Payment Administration Center
ITS Roadway Payment Equipment,road use charges,Light Vehicle OBE
ITS Roadway Payment Equipment,vehicle payment update,Light Vehicle OBE
ITS Roadway Payment Equipment,payment transaction status,Light Vehicle Driver
Emissions Management Operator,emissions operator input,Emissions Management Center
Event Promoter System,event plans,Traffic Management Center
Event Promoter System,event information,Transportation Information Center
Event Promoter System,event plans,Transit Management Center
Event Promoter System,event plans,Emissions Management Center
Event Promoter System,event plans,Emergency Management Center
Event Promoter System,event plans,Parking Management Center
Payment Device,actuate secure payment,Personal Information Device
Payment Device,actuate secure payment,Transit Vehicle OBE
Payment Device,payment device information,Transit Vehicle OBE
Payment Device,actuate secure payment,Electric Charging Station
Payment Device,actuate secure payment,Parking Area Equipment
Payment Device,payment device information,Parking Area Equipment
Payment Device,actuate secure payment,Traveler Support Equipment
Payment Device,payment device information,Traveler Support Equipment
Payment Device,actuate secure payment,Light Vehicle OBE
Payment Device,payment device information,Light Vehicle OBE
Electric Charging Station,authorization request,Payment Administration Center
Electric Charging Station,meter data,Electric Utility
Electric Charging Station,current charging status,Light Vehicle OBE
Electric Charging Station,driver information,Light Vehicle Driver
Electric Charging Station,electric charging station data,Electric Charging Management Center
Payment Administrator,payment administration requests,Payment Administration Center
DMV,registration,Payment Administration Center
DMV,registration,Emergency Management Center
DMV,registration,Commercial Vehicle Administration Center
Other Payment Administration Centers,payment coordination,Payment Administration Center
Other Payment Administration Centers,toll coordination,Payment Administration Center
Other Payment Administration Centers,user account coordination,Payment Administration Center
Emergency Management Center,emergency acknowledge,Vehicle
Emergency Management Center,emergency data request,Vehicle
Emergency Management Center,incident information,Traffic Management Center
Emergency Management Center,emergency traffic control request,Traffic Management Center
Emergency Management Center,evacuation information,Traffic Management Center
Emergency Management Center,transportation system status,Traffic Management Center
Emergency Management Center,emergency plan coordination,Traffic Management Center
Emergency Management Center,emergency route request,Traffic Management Center
Emergency Management Center,alert notification,Traffic Management Center
Emergency Management Center,incident response status,Traffic Management Center
Emergency Management Center,remote surveillance control,Traffic Management Center
Emergency Management Center,resource deployment status,Traffic Management Center
Emergency Management Center,resource request,Traffic Management Center
Emergency Management Center,road closure notification,Traffic Management Center
Emergency Management Center,threat information,Traffic Management Center
Emergency Management Center,special vehicle restricted use information,Traffic Management Center
Emergency Management Center,incident information,Maint and Constr Management Center
Emergency Management Center,evacuation information,Maint and Constr Management Center
Emergency Management Center,transportation system status,Maint and Constr Management Center
Emergency Management Center,emergency plan coordination,Maint and Constr Management Center
Emergency Management Center,alert notification,Maint and Constr Management Center
Emergency Management Center,incident response status,Maint and Constr Management Center
Emergency Management Center,maint and constr resource request,Maint and Constr Management Center
Emergency Management Center,threat information,Maint and Constr Management Center
Emergency Management Center,work plan feedback,Maint and Constr Management Center
Emergency Management Center,incident scene warning device control,ITS Roadway Equipment
Emergency Management Center,incident scene safety application info,Connected Vehicle Roadside Equipment
Emergency Management Center,disable commercial vehicle,Fleet and Freight Management Center
Emergency Management Center,hazmat information request,Fleet and Freight Management Center
Emergency Management Center,commercial vehicle incident response information,Fleet and Freight Management Center
Emergency Management Center,evacuation information,Transportation Information Center
Emergency Management Center,transportation system status,Transportation Information Center
Emergency Management Center,incident information for public,Transportation Information Center
Emergency Management Center,special vehicle alert,Transportation Information Center
Emergency Management Center,alert notification,Transportation Information Center
Emergency Management Center,emergency acknowledge,Personal Information Device
Emergency Management Center,vehicle security status changes,Personal Information Device
Emergency Management Center,incident information,Transit Management Center
Emergency Management Center,evacuation information,Transit Management Center
Emergency Management Center,transportation system status,Transit Management Center
Emergency Management Center,emergency plan coordination,Transit Management Center
Emergency Management Center,emergency transit service request,Transit Management Center
Emergency Management Center,alert notification,Transit Management Center
Emergency Management Center,incident response status,Transit Management Center
Emergency Management Center,threat information,Transit Management Center
Emergency Management Center,alarm acknowledge,Transit Vehicle OBE
Emergency Management Center,secure area sensor control,Transit Vehicle OBE
Emergency Management Center,secure area surveillance control,Transit Vehicle OBE
Emergency Management Center,emergency archive data,Archived Data System
Emergency Management Center,suggested route,Emergency Vehicle OBE
Emergency Management Center,decision support information,Emergency Vehicle OBE
Emergency Management Center,emergency dispatch requests,Emergency Vehicle OBE
Emergency Management Center,road weather advisories for emergency response,Emergency Vehicle OBE
Emergency Management Center,occupant information,Emergency Vehicle OBE
Emergency Management Center,incident scene warning device control,Emergency Vehicle OBE
Emergency Management Center,toll service change request,Payment Administration Center
Emergency Management Center,event confirmation,Event Promoter System
Emergency Management Center,license request,DMV
Emergency Management Center,incident report,Other Emergency Management Centers
Emergency Management Center,transportation system status,Other Emergency Management Centers
Emergency Management Center,emergency plan coordination,Other Emergency Management Centers
Emergency Management Center,evacuation coordination,Other Emergency Management Centers
Emergency Management Center,alert notification coordination,Other Emergency Management Centers
Emergency Management Center,incident command information coordination,Other Emergency Management Centers
Emergency Management Center,incident response coordination,Other Emergency Management Centers
Emergency Management Center,resource coordination,Other Emergency Management Centers
Emergency Management Center,threat information coordination,Other Emergency Management Centers
Emergency Management Center,stolen vehicle recovery coordination,Other Emergency Management Centers
Emergency Management Center,emergency operations status,Emergency System Operator
Emergency Management Center,evacuation information,Shelter Provider Center
Emergency Management Center,public health request,Public Health System
Emergency Management Center,incident information,Rail Operations Center
Emergency Management Center,evacuation information,Rail Operations Center
Emergency Management Center,transportation system status,Rail Operations Center
Emergency Management Center,emergency plan coordination,Rail Operations Center
Emergency Management Center,incident response status,Rail Operations Center
Emergency Management Center,threat information,Rail Operations Center
Emergency Management Center,care facility status request,Care Facility
Emergency Management Center,medical records request,Care Facility
Emergency Management Center,incident information for public,Emergency Telecommunications System
Emergency Management Center,incident notification response,Emergency Telecommunications System
Emergency Management Center,alarm acknowledge,Traveler Support Equipment
Emergency Management Center,incident information for media,Media
Emergency Management Center,alert notification for social media,Social Media
Emergency Management Center,border incident response status,Border Inspection System
Emergency Management Center,infrastructure monitoring sensor control,Security Monitoring Equipment
Emergency Management Center,secure area sensor control,Security Monitoring Equipment
Emergency Management Center,secure area surveillance control,Security Monitoring Equipment
Emergency Management Center,threat data for analysis,Alerting and Advisory System
Emergency Management Center,threat information,Alerting and Advisory System
Emergency Management Center,decision support information,Personnel Device
Emergency Management Center,incident command information,Personnel Device
Emergency Management Center,vehicle control override,Light Vehicle OBE
Emergency Management Center,stolen vehicle signal activation,Light Vehicle OBE
Other ITS Roadway Equipment,roadway treatment coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,environmental sensor coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,lane management coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,traffic detector coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,vehicle occupancy coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,passive vehicle monitoring coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,video surveillance coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,signal control coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,right-of-way request coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,dynamic sign coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,traffic metering coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,advisory radio coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,roadway warning coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,reversible lane coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,barrier system coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,variable speed limit coordination,ITS Roadway Equipment
Other ITS Roadway Equipment,shoulder management coordination,ITS Roadway Equipment
Other Emergency Management Centers,incident report,Emergency Management Center
Other Emergency Management Centers,transportation system status,Emergency Management Center
Other Emergency Management Centers,emergency plan coordination,Emergency Management Center
Other Emergency Management Centers,evacuation coordination,Emergency Management Center
Other Emergency Management Centers,alert notification coordination,Emergency Management Center
Other Emergency Management Centers,incident command information coordination,Emergency Management Center
Other Emergency Management Centers,incident response coordination,Emergency Management Center
Other Emergency Management Centers,resource coordination,Emergency Management Center
Other Emergency Management Centers,threat information coordination,Emergency Management Center
Other Emergency Management Centers,stolen vehicle recovery coordination,Emergency Management Center
Emergency System Operator,emergency operations input,Emergency Management Center
Shelter Provider Center,shelter information,Transportation Information Center
Shelter Provider Center,shelter information,Emergency Management Center
Travel Services Provider System,travel service information,Transportation Information Center
Travel Services Provider System,travel service reservations,Transportation Information Center
Traveler,traveler input,Personal Information Device
Traveler,traveler input,Transit Vehicle OBE
Traveler,traveler input,Traveler Support Equipment
Traveler,traveler input,Personal
Public Health System,public health response,Emergency Management Center
Rail Operations Center,railroad advisories,Traffic Management Center
Rail Operations Center,railroad schedules,Traffic Management Center
Rail Operations Center,railroad schedules,Maint and Constr Management Center
Rail Operations Center,work plan feedback,Maint and Constr Management Center
Rail Operations Center,railroad advisories,Transportation Information Center
Rail Operations Center,railroad schedules,Transportation Information Center
Rail Operations Center,incident information,Emergency Management Center
Rail Operations Center,emergency plan coordination,Emergency Management Center
Rail Operations Center,rail incident response status,Emergency Management Center
Rail Operations Center,rail system status assessment,Emergency Management Center
Rail Operations Center,railroad schedules,Emergency Management Center
Population and Housing Data System,population and housing data,Emergency Management Center
Care Facility,care facility general status,Transportation Information Center
Care Facility,medical records,Emergency Vehicle OBE
Care Facility,care facility status,Emergency Vehicle OBE
Care Facility,medical records,Emergency Management Center
Care Facility,care facility status,Emergency Management Center
Other EV OBEs,decision support information,Emergency Vehicle OBE
Other EV OBEs,incident scene status,Emergency Vehicle OBE
Other EV OBEs,incident scene warning notification,Emergency Vehicle OBE
Other EV OBEs,incident scene images,Emergency Vehicle OBE
Emergency Telecommunications System,incident notification,Emergency Management Center
Parking Area Equipment,driver parking information,Driver
Parking Area Equipment,loading zone parking information,Vehicle
Parking Area Equipment,parking facility geometry,Map Update System
Parking Area Equipment,vehicle signage local data,Connected Vehicle Roadside Equipment
Parking Area Equipment,rest area parking information,Commercial Vehicle OBE
Parking Area Equipment,driver parking information,Commercial Vehicle Driver
Parking Area Equipment,authorization request,Payment Administration Center
Parking Area Equipment,request for payment,Payment Device
Parking Area Equipment,payment device update,Payment Device
Parking Area Equipment,parking area status,Parking Operator
Parking Area Equipment,loading zone application status,Parking Management Center
Parking Area Equipment,parking area information,Parking Management Center
Parking Area Equipment,parking area arrival information,Parking Management Center
Parking Area Equipment,authorization request,Parking Management Center
Parking Area Equipment,parking area reservation status,Parking Management Center
Parking Area Equipment,parking payment transactions,Parking Management Center
Parking Area Equipment,vehicle payment update,Light Vehicle OBE
Parking Area Equipment,payment transaction status,Light Vehicle Driver
Parking Area Equipment,driver parking information,Light Vehicle Driver
Traveler Support Equipment,transit traveler information,Connected Vehicle Roadside Equipment
Traveler Support Equipment,transit stop request,Connected Vehicle Roadside Equipment
Traveler Support Equipment,trip confirmation,Transportation Information Center
Traveler Support Equipment,trip request,Transportation Information Center
Traveler Support Equipment,emergency traveler information request,Transportation Information Center
Traveler Support Equipment,traveler sourced updates,Transportation Information Center
Traveler Support Equipment,evacuation assistance request,Transportation Information Center
Traveler Support Equipment,shelter request,Transportation Information Center
Traveler Support Equipment,traveler request,Transportation Information Center
Traveler Support Equipment,travel services request,Transportation Information Center
Traveler Support Equipment,wayfinding request,Transportation Information Center
Traveler Support Equipment,transit information user request,Transit Management Center
Traveler Support Equipment,transit traveler request,Transit Management Center
Traveler Support Equipment,fare collection data,Transit Management Center
Traveler Support Equipment,transit stop request,Transit Management Center
Traveler Support Equipment,alarm notification,Transit Management Center
Traveler Support Equipment,transit stop passenger status,Transit Management Center
Traveler Support Equipment,authorization request,Transit Management Center
Traveler Support Equipment,user account setup,Payment Administration Center
Traveler Support Equipment,actuate secure payment,Payment Administration Center
